Tube-tub	Tube ID	Time point	Tub	Tub or dish	Wing	Sex	Wing length	A-B length	B-C length
2-7	7	2	2	Live	L	M	1680.987	511.576	461.274
2-8	8	2	2	Live	L	M	1747.599	516.297	583.706
3-10	10	3	3	Dishes	L	M	1702.372	526.695	482.235
3-11	11	3	3	Dishes	L	M	1838.104	547.183	552.11
3-12	12	3	3	Cups	R	M	1679.56	525.93	488.34
3-14	14	3	3	Dishes	L	M	1616.963	474.404	464.112
3-14	14	3	3	Cups	R	M	1869.34	565.93	532.96
3-14	14	3	3	Cups	R	M	1759.928	545.972	526.242
3-15	15	3	3	Dishes	R	M	1741.413	502.982	531.375
3-15	15	3	3	Cups	R	M	1706.99	527.21	530.88
3-15	15	3	3	Cups	R	M (abdomen missing but wing hairs present)	1717.352	538.953	518.208
3-16	16	3	3	Cups	L	M	1623.82	545.32	504.4
3-16	16	3	3	Dishes	L	M	1764.973	556.765	523.73
3-17	17	3	3	Dishes	L	M	1691.006	514.7	516.754
3-19	19	3	3	Dishes	U	M	1712.114	549.307	490.111
3-2	2	3	3	Cups	R	M	1564.04	543.88	425.15
3-2	2	3	3	Dishes	U	M	1771.564	542.736	514.153
3-20	20	3	3	Dishes	L	M	1744.873	578.803	545.5
3-20	20	3	3	Dishes	R	M	1682.01	522.748	520.491
3-22	22	3	3	Dishes	L	M	1686.154	538.661	538.975
3-23	23	3	3	Dishes	U	M	1836.221	569.447	550.012
3-24	24	3	3	Dishes	L	M	1672.376	504.701	455.778
3-25	25	3	3	Dishes	R	M	1786.318	551.693	542.677
3-26	26	3	3	Dishes	L	M	1613.704	506.582	509.774
3-27	27	3	3	Dishes	L	M	1700.738	536.873	524.784
3-29	29	3	3	Dishes	L	M	1723.653	538.459	499.022
3-3	3	3	3	Cups	U	M	1442.85	450.56	447.67
3-30	30	3	3	Dishes	R	M	1612.177	481.631	452.242
3-32	32	3	3	Dishes	L	M	1690.172	517.536	500.931
3-33	33	3	3	Dishes	L	M	1629.56	538.94	545.624
3-34	34	3	3	Dishes	R	M	1646.24	506.309	516.642
3-35	35	3	3	Dishes	L	M	1759.767	533.76	533.532
3-36	36	3	3	Dishes	R	M	1675.62	532.749	513.139
3-39	39	3	3	Dishes	L	M	1671.775	483.92	477.302
3-4	4	3	3	Dishes	R	M	1616.399	502.084	508.768
3-4	4	3	3	Cups	R	M	1765.71	536.69	529.24
3-4	4	3	3	Cups	R	M	1548.091	491.187	505.386
3-40	40	3	3	Dishes	R	M	1702.108	517.041	492.705
3-5	5	3	3	Dishes	R	M	1581.141	485.595	474.267
3-6	6	3	3	Dishes	L	M	1790.334	530.203	553.512
3-6	6	3	3	Cups	R	M	1604.61	481.2	503.37
3-7	7	3	3	Dishes	L	M	1564.846	512.324	490.288
3-7	7	3	3	Cups	R	M	1719.69	529.29	471.6
3-8	8	3	3	Dishes	L	M	1628.085	498.271	488.535
3-8	8	3	3	Cups	R	M	1767.93	548.27	523.93
3-9	9	3	3	Dishes	L	M	1600.599	503.181	469.62
4-1	1	4	4	Dishes	R	M	1760.409	532.792	523.275
4-11	11	4	4	Dishes	L	M	1483.399	432.391	454.566
4-12	12	4	4	Tub	L	M	1549.64	479.44	497.42
4-14	14	4	4	Tub	L	M		540.97	435.56
4-14	14	4	4	Dishes	U	M	1318.566	450.73	455.596
4-17	17	4	4	Dishes	L	M	1684.452	540.509	510.385
4-19	19	4	4	Dishes	R	M	1566.493	494.196	477.277
4-22	22	4	4	Tub	R	M	1709.78	543.72	510.09
4-24	24	4	4	Dishes	R	M	1590.155	488.452	460.175
4-27	27	4	4	Dishes	R	M	1687.781	511.419	519.639
4-33	33	4	4	Dishes	L	M	1537.742	460.923	448.84
4-33	33	4	4	Dishes	U	M	1544.061	459.104	461.449
4-34	34	4	4	Dishes	U	M	1617.331	509.787	475.078
4-35	35	4	4	Dishes	L	M	1794.289	533.126	553.856
4-36	36	4	4	Dishes	L	M	1533.635	469.226	435.409
4-37	37	4	4	Dishes	L	M	1541.492	484.865	458.674
4-39	39	4	4	Dishes	R	M	1654.698	484.426	448.84
4-42	42	4	4	Dishes	R	M	1706.044	533.388	545.649
4-5	5	4	4	Dishes	U	M	1610.488	505.067	474.276
4-6	6	4	4	Dishes	R	M	1418.636	429.38	425.862
4-7	7	4	4	Dishes	L	M	1632.917	528.479	514.655
4-8	8	4	4	Dishes	R	M	1733.994	538.699	522.443
4-8	8	4	4	Tub	U	M	1777.83	572.93	539.37
4-9	9	4	4	Tub	R	M	1771.97	545.69	452.52
5-1	1	5	5	Cups	L	M	1689.98	490.23	490.18
5-1	1	5	5	Dishes	L	M	1768.15	575.75	569.38
5-10	10	5	5	Dishes	L	M	1673.781	510.147	503.747
5-11	11	5	5	Dishes	L	M	1599.33	509.34	487.7
5-12	12	5	5	Cups	R	M	1600.74	516.05	491.2
5-12	12	5	5	Dishes	R	M	1601.19	483.82	483.56
5-14	14	5	5	Dishes	L	M	1642.682	490.708	471.631
5-14	14	5 (PM)	5	Cups	L	M	1614.12	421.06	413.69
5-15	15	5	5	Cups	R	M	1769.81	527.36	494.3
5-15	15	5	5	Dishes	R	M	1474.04	466.52	462.57
5-16	16	5	5	Dishes	L	M	1666.02	512.93	484.52
5-17	17	5	5	Dishes	R	M	1675.83	529.19	506.15
5-17	17	5	5	Cups	U	M		478.79	481.61
5-19	19	5	5	Cups	R	M	1625.31	509.23	458.27
5-19	19	5	5	Dishes	R	M	1504.7	485.87	484.5
5-2	2	5	5	Dishes	R	M	1554.269	481.587	418.382
5-20	20	5 (PM)	5	Cups	L	M	1657.3	490	467.72
5-20	20	5	5	Dishes	R	M	1820.518	559.089	548.874
5-21	21	5	5	Dishes	R	M	1731.01	530.05	493.22
5-21	21	5 (PM)	5	Cups	R	M	1713.69	494.79	494.89
5-22	22	5	5	Dishes	R	M	1715.18	525.15	526.8
5-22	22	5 (PM)	5	Cups	R	M	1715.43	512.04	495.68
5-23	23	5	5	Dishes	R	M	1406.645	449.079	444.322
5-23	23	5 (PM)	5	Cups	R	M	1716.99	531.14	546.87
5-24	24	5	5	Dishes	L	M	1689.716	522.112	534.867
5-25	25	5 (AM)	5	Cups	L	M	1701.23	505.55	504.98
5-25	25	5	5	Dish	R	M	1707.41	518.32	542.95
5-25	25	5	5	Dish	R	M	1656.3	481.52	495.82
5-26	26	5 (PM)	5	Cups	L	M	1620.55	504.34	490.71
5-26	26	5	5	Dishes	R	M	1623.71	506.4	504.01
