Tube-tub	Tube ID	Time point	Tub	Tub or dish	Wing	Sex	Wing length	A-B length	B-C length
8-26	26	8	8	Dishes	R	F	1494.436	467.367	419.976
8-26	26	8	8	Cups	U	F		479.275	465.866
8-26	26	8	8	Cups	U	F	1511.991	470.34	438.067
8-27	27	8	8	Dishes	R	F	1644.649	451.072	448.884
8-29	29	8	8	Dishes	U	F	1557.686	429.194	403.805
8-30	30	8	8	Dishes	R	F	1664.893	485.268	431.744
8-31	31	8	8	Dishes	L	F	1333.093	404.258	412.379
8-35	35	8	8	Cups	U	F	1554.718	444.996	409.376
8-35	35	8	8	Cups	U	F	1613.522	517.1	512.484
8-36	36	8	8	Dishes	L	F		498.4	436.71
8-40	40	8	8	Cups	L	F	1435.678	415.975	410.794
8-41	41	8	8	Cups	L	F	1669.115	510.356	529.417
8-42	42	8	8	Cups	L	F	1633.059	453.621	451.337
8-44	44	8	8	Dishes	U	F	1375.99	379.922	375.504
8-44	44	8	8	Dishes	U	F	1313.941	403.414	421.287
8-47	47	8	8	Dishes	L	F	1693.824	512.647	507.997
8-48	48	8	8	Cups	L	F	1545.909	451.368	421.778
8-48	48	8	8	Dishes	L	F	1786.687	541.453	492.638
8-49	49	8	8	Dishes	L	F	1694.577	508.056	489.359
8-5	5	8	8	Cups	L	F	1610.395	497.273	510.436
8-50	50	8	8	Dishes	L	F	1475.446	437.611	413.109
8-51	51	8	8	Cups	L	F	1650.442	494.441	493.981
8-52	52	8	8	Dishes	L	F	1626.644	500.411	486.615
8-53	53	8	8	Dishes	U	F	1675.496	501.521	467.377
8-56	56	8	8	Dishes	L	F	1611.881	491.197	481.847
8-58	58	8	8	Dishes	L	F		501.551	458.905
8-6	6	8	8	Cups	U	F	1554.101	500.645	458.926
8-7	7	8	8	Cups	L	F	1467.762	441.183	411.497
8-9	9	8	8	Cups	L	F	1605.78	484.545	472.021
9-1	1	9	9	Cups	L	F	1627.21	487.982	488.803
9-10	10	9	9	Cups	L	F	1578.245	477.376	483.14
9-11	11	9	9	Cups	L	F	1591.95	492.087	476.965
9-12	12	9	9	Cups	R	F	1615.283	513.088	470.597
9-14	14	9	9	Cups	L	F	1420.585	398.616	351.42
9-15	15	9	9	Cups	R	F	1556.428	461.965	435.014
9-16	16	9	9	Cups	R	F	1402.336	454.434	443.45
9-17	17	9	9	Cups	L	F	1467.706	422.347	386.934
9-18	18	9	9	Cups	L	F	1491.661	459.108	465.784
9-18C	18C	9	9	Dish	U	F	1562.91	460.95	428.74
9-19	19	9	9	Cups	R	F	1407.68	438.424	474.321
9-20	20	9	9	Cups	L	F	1751.058	545.181	516.884
9-21	21	9	9	Cups	L	F	1631.907	490.745	479.98
9-21	21	9	9	Dish	U	F	1548.84	452.94	454.64
9-22	22	9	9	Dish	R	F	1466.81	414.13	353.47
9-23	23	9	9	Cups	L	F	1672.71	481.454	473.16
9-25	25	9	9	Cups	L	F	1653.135	521.372	502.723
9-26	26	9	9	Dish	L	F	1532.59	428.66	425.55
9-26	26	9	9	Cups	R	F	1622.154	485.537	494.752
9-26	26	9	9	Cups	U	F	1418.613	405.434	388.619
9-27	27	9	9	Cups	L	F	1681.57	520.892	517.901
9-27	27	9	9	Dish	L	F	1504.48	433.66	453.37
9-29	29	9	9	Cups	L	F	1560.968	490.377	457.783
9-30	30	9	9	Cups	L	F	1561.176	466.292	464.992
9-30	30	9	9	Dish	L	F	1315.33	379.54	385.97
9-31	31	9	9	Dish	R	F	1417.22	410.04	406.9
9-33	33	9	9	Cups	R	F	1470.156	445.558	459.495
9-33	33	9	9	Dish	R	F	1368.74	394.88	409.53
9-35	35	9	9	Cups	L	F	1444.873	448.451	435.566
9-36	36	9	9	Dish	R	F	1612.49	450.61	452.49
9-37	37	9	9	Cups	L	F	1502.058	468.565	433.329
9-37	37	9	9	Dish	R	F	1327.62	398.69	376.17
9-38	38	9	9	Dish	R	F	1603	478.03	462.33
9-38	38	9	9	Cups	U	F	1507.316		
9-39	39	9	9	Cups	L	F	1588.518	504.401	450.193
9-39	39	9	9	Dish	R	F	1482	460.35	411.24
9-41	41	9	9	Cups	L	F	1725.895	512.522	541.334
9-42	42	9	9	Cups	L	F	1537.65	459.313	476.605
9-43	43	9	9	Dish	R	F	1722.82	517.17	506.91
9-43	43	9	9	Cups	U	F	1700.977	510.372	468.86
9-44	44	9	9	Dish	R	F	1402.59	414.3	434.77
9-44	44	9	9	Cups	U	F	1666.949	517.296	531.476
9-45	45	9	9	Cups	L	F	1566.667	471.79	462.307
9-46	46	9	9	Cups	U	F	1587.415	466.094	458.128
9-46	46	9	9	Cups	U	F	1461.643	459.296	458.077
9-47	47	9	9	Cups	L	F	1558.234	472.714	477.859
9-47	47	9	9	Dish	L	F	1715.79	499.29	480.81
9-48	48	9	9	Cups	L	F	1684.262	506.62	504.117
9-49	49	9	9	Cups	L	F	1580.624	497.572	501.559
9-49	49	9	9	Dish	R	F	1510.97	454.9	415.17
9-5	5	9	9	Cups	L	F	1544.313	467.111	442.281
9-5	5	9	9	Cups	R	F	1711.381	547.08	498.415
9-50	50	9	9	Cups	L	F	1560.462	492.355	434.109
9-50	50	9	9	Dish	R	F	1808.06	535.38	514.44
9-51	51	9	9	Cups	U	F	1628.657	479.287	492.461
9-52	52	9	9	Cups	L	F	1590.892	488.024	486.026
9-52	52	9	9	Dish	R	F	1463.45	428.14	404.24
9-53	53	9	9	Cups	L	F	1623.11	499.181	499.055
9-53	53	9	9	Dish	L	F	1468.85	447.5	442.22
9-54	54	9	9	Dish	L	F	1760.51	508.63	485.55
9-54	54	9	9	Cups	R	F	1752.405	525.678	505.316
9-56	56	9	9	Dish	R	F	1552.34	441.27	433.47
9-57	57	9	9	Dish	L	F	1569.07	422.27	381.74
9-58	58	9	9	Dish	R	F	1580.06	466.64	467.57
9-59	59	9	9	Cups	R	F	1551.386	441.692	480.465
9-6	6	9	9	Cups	L	F	1522.591	444.454	441.888
9-6	6	9	9	Cups	L	F	1442.628	510.269	469.025
9-7	7	9	9	Cups	R	F	1476.385	463.305	465.383
9-7	7	9	9	Dish	R	F	1474.79	417.5	412.6
9-9	9	9	9	Cups	L	F	1608.965	493.185	475.451
