Tube-tub	Tube ID	Time point	Tub	Tub or dish	Wing	Sex	Wing length	A-B length	B-C length
12-30	30	12	12	Cups	U	F	1529.19	457.65	452.23
12-33	33	12	12	Cups	R	F	1766.91	520.24	488.39
12-35	35	12	12	Cups	L	F		439.379	417.39
12-35	35	12	12	Cups	U	F	1829.84	547.87	548.12
12-35	35	12	12	Cups	U	F	1832.42	523.87	527.43
12-38	38	12	12	Cups	L	F	1622.17	467.23	473.79
12-39	39	12	12	Cups	L	F	1590.693	476.549	467.252
12-39	39	12	12	Cups	R	F	1518.8	442.47	447.57
12-40	40	12	12	Cups	R	F	1726.9	479.41	502.98
12-42	42	12	12	Cups	L	F	1497.88	444.78	436.37
12-42	42	12	12	Cups	R	F	1268.768	372.085	360.835
12-44	44	12	12	Cups	U	F	1600.01	493.48	401.19
12-44	44	12	12	Cups	U	F	1566.51	454.5	456.75
12-45	45	12	12	Dishes	L	F	1499.6	430.87	430.39
12-45	45	12	12	Cups	R	F	1680.96	510.25	483.68
12-45	45	12	12	Cups	R	F	1619.877	498.625	479.39
12-47	47	12	12	Dishes	R	F	1550.44	490.29	453.82
12-50	50	12	12	Cups	L	F	1487.643	430.233	464.749
12-50	50	12	12	Dishes	R	F	1676.87	479.36	493.48
12-50	50	12	12	Cups	R	F	1931.3	579.8	582.23
12-52	52	12	12	Cups	L	F	1548.944	450.783	455.502
12-52	52	12	12	Cups	R	F	1632.63	501.21	491.95
12-54	54	12	12	Cups	R	F	1553.07	463.74	468.52
12-56	56	12	12	Cups	R	F	1693.1	516.93	497.24
12-56	56	12	12	Cups	R	F	1479.711	450.214	441.17
12-57	57	12	12	Cups	L	F	1682.67	526.49	488.66
12-57	57	12	12	Cups	R	F	1666.365	524.115	501.756
12-59	59	12	12	Cups	L	F	1639.97	521.28	474.14
13-35	35	13	13	Cups	R	F	1605.7	473.5	490.7
13-38	38	13	13	Dish	L	F		442.5	427.9
13-39	39	13	13	Cups	R	F	1643.33	482.65	473.04
13-41	41	13	13	Cups	U	F	1349.94	415.16	389.61
13-42	42	13	13	Cups	R	F	1519.63	450.38	429.4
13-44	44	13	13	Cups	R	F	1525.15	443.47	437.82
13-45	45	13	13	Cups	L	F	1648.88	502.34	455.8
13-45	45	13	13	Cups	R	F	1601.27	451.46	478.3
13-47	47	13	13	Cups	R	F	1674.59	503.32	484.1
13-50	50	13	13	Cups	U	F	1536.91	452.42	465.59
13-50	50	13	13	Cups	U	F	1526.53	450.58	442.42
13-52	52	13	13	Cups	R	F	1623.45	489.6	472.29
13-53	53	13	13	Cups	R	F	1675.51	492.35	495.19
13-54	54	13	13	Cups	L	F	1569.06	482.54	450.81
13-56	56	13	13	Cups	R	F	1505.14	432.46	394.14
13-57	57	13	13	Cups	U	F	1319.82	393.68	363
13-57	57	13	13	Cups	U	F		375.3	400.85
13-58	58	13	13	Cups	U	F	1486.53	439.46	442.37
13-59	59	13	13	Cups	R	F	1463.08	435.75	427.53
14-47	47	14	14	Dish	L	F	1494.01	441.55	457.75
14-50	50	14	14	Dish	R	F	1620.15	471.91	466.04
14-51	51	14	14	Dish	R	F	1584.47	467.21	470.2
14-53	53	14	14	Dish	R	F	1536.51	443.16	448.41
14-58	58	14	14	Dish	L	F	1562.93	444.93	449.48
14-59	59	14	14	Dish	R	F	1395.63	420.59	419.02
2-28	28	2	2	Live	U	F		503.315	429.286
2-32	32	2	2	Live	L	F	1727.489	521.529	440.498
2-38	38	2	2	Dishes	L	F	1719.996	524.25	521.612
3-1	1	3	3	Dishes	L	F	1649.137	522.72	523.67
3-10	10	3	3	Cups	R	F	1643.64	462.55	428.37
3-10	10	3	3	Dishes	U	F	1458.46	460.366	451.626
3-11	11	3	3	Dishes	L	F	1729.582	485.22	500.902
3-14	14	3	3	Dishes	L	F	1486.272	451.414	462.262
3-14	14	3	3	Cups	R	F	1756.07	529.91	511.81
3-15	15	3	3	Dishes	L	F	1626.653	508.231	501.041
3-16	16	3	3	Dishes	L	F	1490.729	431.473	391.563
3-16	16	3	3	Dishes	R	F	1739.963	517.941	495.408
3-17	17	3	3	Dishes	L	F	1576.94	472.681	492.736
3-19	19	3	3	Dishes	L	F	1641.518	460.423	475.1
3-2	2	3	3	Dishes	R	F	1690.337	497.552	503.003
3-20	20	3	3	Dishes	U	F	1590.663	446.492	461.847
3-21	21	3	3	Dishes	U	F	1533.485	498.828	491.076
3-22	22	3	3	Dishes	L	F	1545.126	443.458	466.818
3-23	23	3	3	Dishes	L	F	1548.782	500.254	492.243
3-24	24	3	3	Dishes	U	F	1610.276	474.633	469.796
3-26	26	3	3	Dishes	L	F	1608.027	468.926	430.051
3-27	27	3	3	Dishes	L	F	1537.518	505.605	497.302
3-28	28	3	3	Dishes	R	F	1599.963	491.516	471.481
3-29	29	3	3	Dishes	L	F	1635.69	504.382	471.478
3-3	3	3	3	Cups	R	F	1569.6	478.86	471.32
3-3	3	3	3	Cups	R	F	1542.866	468.113	448.544
3-3	3	3	3	Dishes	U	F	1558.223	470.307	454.4
3-30	30	3	3	Dishes	L	F	1699.489	492.519	423.835
3-31	31	3	3	Dishes	L	F	1462.604	456.428	444.195
3-32	32	3	3	Dishes	R	F	1585.156	476.011	444.109
3-33	33	3	3	Dishes	L	F	1472.403	435.711	424.824
3-34	34	3	3	Dishes	L	F	1585.751	453.048	446.056
3-35	35	3	3	Dishes	L	F	1702.604	517.999	496.321
3-36	36	3	3	Dishes	L	F	1583.106	483.92	486.01
3-37	37	3	3	Dishes	L	F	1604.459	469.027	460.224
3-39	39	3	3	Dishes	L	F	1671.486	459.818	434.36
3-4	4	3	3	Dishes	L	F	1693.24	493.517	511.968
3-40	40	3	3	Dishes	L	F	1775.667	523.921	514.874
3-44	44	3	3	Dishes	R	F	1601.944	470.074	481.269
3-5	5	3	3	Dishes	L	F	1390.011	416.062	408.638
3-6	6	3	3	Dishes	L	F	1539.416	449.347	433.618
3-6	6	3	3	Cups	R	F	1714.58	489.2	490.75
3-6	6	3	3	Cups	R	F	1489.115	455.959	428.909
3-7	7	3	3	Dishes	L	F	1662.152	498.665	501.041
3-7	7	3	3	Cups	R	F	1703.64	508.98	499.99
3-8	8	3	3	Dishes	L	F	1635.431	469.246	479.108
3-8	8	3	3	Cups	R	F	1524.41	454.74	416.64
3-9	9	3	3	Dishes	R	F	1649.413	491.387	499.083
4-1	1	4	4	Dishes	L	F	1529.478	511.841	488.698
4-11	11	4	4	Dishes	L	F	1488.879	436	449.783
4-11	11	4	4	Tub	R	F	1730.76	419.78	394.91
4-12	12	4	4	Dishes	R	F	1662.58	513.289	503.123
4-14	14	4	4	Dishes	R	F	1554.849	463.51	421.164
4-15	15	4	4	Dishes	U	F	1669.433	508.069	492.189
4-15	15	4	4	Dishes	U	F	1544.391	499.829	467.865
4-17	17	4	4	Dishes	U	F	1669.071	489.5	501.405
4-19	19	4	4	Tub	R	F	1664.9	504.24	478.26
4-2	2	4	4	Dishes	R	F	1532.038	509.621	516.046
4-2	2	4	4	Tub	R	F	1575.41	451.17	366.74
4-20	20	4	4	Tub	U	F	1714.19	547.79	539.35
4-20	20	4	4	Tub	U	F	1739.98	529.01	512.03
4-21	21	4	4	Dishes	U	F	1653.364	504.348	517.791
4-22	22	4	4	Dishes	L	F	1643.603	493.115	495.815
4-24	24	4	4	Dishes	R	F	1569.478	475.948	447.777
4-27	27	4	4	Dishes	R	F	1597.069	485.076	429.194
4-28	28	4	4	Dishes	U	F	1588.611	473.145	463.475
4-28	28	4	4	Dishes	U	F	1520.788	436.243	393.121
4-29	29	4	4	Dishes	L	F	1515.666	429.499	354.804
4-29	29	4	4	Dishes	L	F	1597.042	495.883	458.895
4-3	3	4	4	Tub	R	F	1434.45	442.19	413.77
4-3	3	4	4	Dishes	U	F	1652.18	523.015	510.921
4-32	32	4	4	Dishes	L	F	1461.772	446.74	375.845
4-35	35	4	4	Dishes	L	F	1723.672	517.518	535.561
4-36	36	4	4	Dishes	L	F	1590.459	474.438	383.522
4-37	37	4	4	Dishes	U	F	1715.903	535.309	498.407
4-38	38	4	4	Dishes	R	F	1802.531	539.866	541.679
4-39	39	4	4	Dishes	R	F	1476.762	409.254	388.138
4-4	4	4	4	Tub	R	F	1767.59	510.42	443.26
4-4	4	4	4	Dishes	U	F	1548.893	488.201	464.108
4-40	40	4	4	Dishes	U	F	1614.281	492.586	460.329
4-42	42	4	4	Dishes	L	F	1677.831	494.681	469.524
4-44	44	4	4	Dishes	U	F	1659.833	505.877	490.151
4-5	5	4	4	Dishes	R	F	1620.715	476.671	472.487
4-5	5	4	4	Tub	R	F	1685.22	518.06	481.07
4-6	6	4	4	Dishes	L	F	1667.92	487.535	470.444
4-6	6	4	4	Tub	R	F	1872.22	499.42	514.48
4-7	7	4	4	Dishes	R	F	1564.983	469.171	448.84
4-8	8	4	4	Dishes	L	F	1594.33	479.873	471.325
4-9	9	4	4	Tub	R	F	1691.94	497.84	514.32
